txt_file : ./assets/book_EN_grimms_fairy_tails.txt
seq_length : 30
lstm_num_hidden : 128
lstm_num_layers : 2
batch_size : 64
learning_rate : 0.002
learning_rate_decay : 0.96
learning_rate_step : 5000
dropout_keep_prob : 1.0
train_steps : 1000000.0
max_norm : 5.0
device : cuda:0
summary_path : ./summaries/
print_every : 500
sample_every : 100
/home/lgpu0336
Initialize dataset with 550595 characters, 91 unique.
[2020-11-20 17:25] Train Step 0499/1000000, Batch Size = 64,                     Examples/Sec = 1346.19, Accuracy = 0.10, Loss = 1.836
[2020-11-20 17:25] Train Step 0999/1000000, Batch Size = 64,                     Examples/Sec = 1229.27, Accuracy = 0.08, Loss = 1.581
[2020-11-20 17:26] Train Step 1499/1000000, Batch Size = 64,                     Examples/Sec = 1385.20, Accuracy = 0.09, Loss = 1.474
[2020-11-20 17:26] Train Step 1999/1000000, Batch Size = 64,                     Examples/Sec = 1267.29, Accuracy = 0.10, Loss = 1.441
[2020-11-20 17:27] Train Step 2499/1000000, Batch Size = 64,                     Examples/Sec = 1200.04, Accuracy = 0.11, Loss = 1.453
[2020-11-20 17:27] Train Step 2999/1000000, Batch Size = 64,                     Examples/Sec = 1299.55, Accuracy = 0.11, Loss = 1.335
[2020-11-20 17:28] Train Step 3499/1000000, Batch Size = 64,                     Examples/Sec = 1384.87, Accuracy = 0.10, Loss = 1.341
[2020-11-20 17:28] Train Step 3999/1000000, Batch Size = 64,                     Examples/Sec = 1252.17, Accuracy = 0.10, Loss = 1.353
[2020-11-20 17:29] Train Step 4499/1000000, Batch Size = 64,                     Examples/Sec = 1334.61, Accuracy = 0.11, Loss = 1.334
[2020-11-20 17:29] Train Step 4999/1000000, Batch Size = 64,                     Examples/Sec = 1392.51, Accuracy = 0.09, Loss = 1.303
[2020-11-20 17:29] Train Step 5499/1000000, Batch Size = 64,                     Examples/Sec = 1386.59, Accuracy = 0.09, Loss = 1.273
[2020-11-20 17:30] Train Step 5999/1000000, Batch Size = 64,                     Examples/Sec = 1378.46, Accuracy = 0.10, Loss = 1.263
[2020-11-20 17:30] Train Step 6499/1000000, Batch Size = 64,                     Examples/Sec = 1291.41, Accuracy = 0.10, Loss = 1.278
[2020-11-20 17:31] Train Step 6999/1000000, Batch Size = 64,                     Examples/Sec = 1375.41, Accuracy = 0.11, Loss = 1.146
[2020-11-20 17:31] Train Step 7499/1000000, Batch Size = 64,                     Examples/Sec = 1358.10, Accuracy = 0.08, Loss = 1.250
[2020-11-20 17:32] Train Step 7999/1000000, Batch Size = 64,                     Examples/Sec = 1362.95, Accuracy = 0.09, Loss = 1.236
[2020-11-20 17:32] Train Step 8499/1000000, Batch Size = 64,                     Examples/Sec = 1415.49, Accuracy = 0.09, Loss = 1.198
Done training.
